Count,Order ID,Invoice,Payment Date,Order Status,Product ID,Product Name,Quantity,Stock Keeping Unit (SKU),Notes,Price (Rp.),Discount Amount (Rp.),Subsidi Amount (Rp.),Courier,Shipping Price + fee (Rp.),Insurance (Rp.),Total Shipping Fee (Rp.),Total Amount (Rp.),AWB,Jenis Layanan,Bebas Ongkir,Warehouse Origin,Campaign Name,city,user_id
28,759139508,INV/20210410/MPL/1161477421,10-04-2021 08:20:02,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1495250105,"miniletics Sprint Shorts Celana Olahraga Wanita - Grey,M",1,SPRShorts_Grey_M,,164500,0,0,AnterAja(Reguler),7500,0,7500,172000,10001095447907,-,Yes,Shop Location,,Jakarta barat,139
29,759298295,INV/20210410/MPL/1161878860,10-04-2021 11:27:41,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1695943374,"miniletics Motion Legging Full 24"" Legging Olahraga Wanita - Green,XL",1,MOLFull_Green_XL,,244500,0,0,AnterAja(Reguler),7500,0,7500,426500,10001102034331,-,Yes,Shop Location,,Bekasi,161
,759298295,INV/20210410/MPL/1161878860,10-04-2021 11:27:41,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1046907630,"miniletics Embrace Bra, with A/B Cup Sports Bra - Cream,L",1,EMB_Cream_L,,174500,0,0,AnterAja(Reguler),7500,0,7500,426500,10001102034331,-,Yes,Shop Location,,Bekasi,161
30,759419362,INV/20210410/MPL/1162182918,10-04-2021 13:34:58,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1688152064,"miniletics Embrace Bra High Neck, with A/B Cup Sports Bra - Black,M",1,EMBHigh_Black_M,,157050,17450,0,AnterAja(Reguler),7500,0,7500,164550,10001102033828,-,Yes,Shop Location,Sale,Jakarta timur,225
31,759513276,INV/20210410/MPL/1162417895,10-04-2021 15:31:09,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1696018500,"miniletics Motion Shorts 6"" Celana Olahraga Wanita - Maroon,M",1,MOLShorts_Maroon_M,,157050,17450,0,AnterAja(Reguler),10500,0,10500,337050,10001102036625,-,Yes,Shop Location,Sale,Mataram,102
,759513276,INV/20210410/MPL/1162417895,10-04-2021 15:31:09,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1696216275,"miniletics Celana Olahraga wanita Motion Shorts 4"" - Black, M",1,MOLShorts_Black_M,,169500,0,0,AnterAja(Reguler),10500,0,10500,337050,10001102036625,-,Yes,Shop Location,,Mataram,102
32,759544739,INV/20210410/MPL/1162495467,10-04-2021 16:16:03,"Transaksi selesai..
Dana akan diteruskan ke penjual.",980008156,"miniletics Cross Limit (Cropped Tank) Tank Top Olahraga Wanita - Black,S",1,CLT_Black_S,,125550,13950,0,JNE(YES),20500,0,20500,146050,TJX1012446660857,Next Day,,Shop Location,Sale,Jakarta selatan,8
33,759695163,INV/20210410/MPL/1162862584,10-04-2021 20:30:33,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1238060291,"miniletics Power High Neck Bra, with A/B Cup Sports Bra - Magenta,M",1,PWRHigh_Magenta_M,,157050,17450,0,AnterAja(Reguler),7500,0,7500,486674,10001102031105,-,Yes,Shop Location,Sale,Tangerang,202
,759695163,INV/20210410/MPL/1162862584,10-04-2021 20:30:33,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1043879033,"miniletics Alleviate Bra, with A/B Cup Sports Bra - White,M",1,ALB_White_M,,152550,16950,0,AnterAja(Reguler),7500,0,7500,486674,10001102031105,-,Yes,Shop Location,Sale,Tangerang,202
,759695163,INV/20210410/MPL/1162862584,10-04-2021 20:30:33,"Transaksi selesai..
Dana akan diteruskan ke penjual.",986647209,"miniletics Tank Top Olahraga Wanita Notice Mi 2 in 1 Tank, A/B cup - Grey,M",1,NMT_Grey_M,,169574,29924,0,AnterAja(Reguler),7500,0,7500,486674,10001102031105,-,Yes,Shop Location,Sale,Tangerang,202
34,759712245,INV/20210410/MPL/1162904826,10-04-2021 20:59:28,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1695943370,"miniletics Motion Legging Full 24"" Legging Olahraga Wanita - Green,XS",1,MOLFull_Green_XS,,220050,24450,0,AnterAja(Reguler),15000,0,15000,569000,10001102030614,-,Yes,Shop Location,Sale,Jakarta barat,38
,759712245,INV/20210410/MPL/1162904826,10-04-2021 20:59:28,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1403131929,"miniletics Feel Free Basic Crop Tank Tank Top Olahraga Wanita - White,S",1,FFT_White_S,,113900,20100,0,AnterAja(Reguler),15000,0,15000,569000,10001102030614,-,Yes,Shop Location,Sale,Jakarta barat,38
,759712245,INV/20210410/MPL/1162904826,10-04-2021 20:59:28,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1240390320,"miniletics Motion Legging Full 24"" Legging Olahraga Wanita - Mauve Pink,M",1,MOLFull_MauvePink_M,,220050,24450,0,AnterAja(Reguler),15000,0,15000,569000,10001102030614,-,Yes,Shop Location,Sale,Jakarta barat,38
35,759844476,INV/20210411/MPL/1163236076,11-04-2021 06:14:27,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1237777730,"miniletics Sprint Tank Tank Top Olahraga Wanita - Soft Pink,S",1,SPRTank_SoftPink_S,,131200,32800,0,AnterAja(Reguler),10000,0,10000,266750,10001102035374,-,Yes,Shop Location,Sale,Bandung,10
,759844476,INV/20210411/MPL/1163236076,11-04-2021 06:14:27,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1046094247,"miniletics Born to be Bra-ve , with A/B Cup Sports Bra - Purple,S",1,BBB_Purple_S,,125550,13950,0,AnterAja(Reguler),10000,0,10000,266750,10001102035374,-,Yes,Shop Location,Sale,Bandung,10
36,759860779,INV/20210411/MPL/1163278056,11-04-2021 07:17:44,"Transaksi selesai..
Dana akan diteruskan ke penjual.",980008156,"miniletics Cross Limit (Cropped Tank) Tank Top Olahraga Wanita - Black,S",1,CLT_Black_S,,125550,13950,0,AnterAja(Reguler),7500,0,7500,246950,10001102030603,-,Yes,Shop Location,Sale,Jakarta selatan,25
,759860779,INV/20210411/MPL/1163278056,11-04-2021 07:17:44,"Transaksi selesai..
Dana akan diteruskan ke penjual.",986577439,"miniletics Feel Free Basic Crop Tank Tank Top Olahraga Wanita - Blue,S",1,FFT_Blue_S,,113900,20100,0,AnterAja(Reguler),7500,0,7500,246950,10001102030603,-,Yes,Shop Location,Sale,Jakarta selatan,25
37,759982368,INV/20210411/MPL/1163585362,11-04-2021 10:49:30,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1688152066,"miniletics Embrace Bra High Neck, with A/B Cup Sports Bra - Black,XL",1,EMBHigh_Black_XL,,157050,17450,0,AnterAja(Reguler),7500,0,7500,321600,10001102036205,-,,Shop Location,Sale,Jakarta barat,228
